<<<<<<< HEAD
question_text,main_verbs,tense,infinitives,passives,have_+_participle,auxiliary_verbs,pronouns,nouns,determiners,other_adjectives,prepositions,conjunctions,subject_verb_agreement
"Lake trout, fish usually finding in deep, cool lakes, are greenish gray and are covered with pale sports",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"During the first 20 years of the space age, the US spent more than 90 billion dollars onto its civilian and military space programs.",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Vitamin A and C and most of the B vitamin are retain in foods that have been canned,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"Ella Baker spent her ault life working for social change by lecturing, writing, teacher, and organizing adult literacy program",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"Gold can combined with silver in any proportion, but alloys with 50 to 60 percent silver are the strongest",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"The camera obscura, a lensless precursor of the photogtaphic camera, consist of a darkened chamber, with light pass into it through a single",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"Lumber production was the main industry in Michigan until the early 1900's, which the automobile industry was established in Detroit",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Twenty minutes of vigorous exercise every day is very effect in helping a person to maintain pyshical fitness,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"It was not until after Emily Dickinson's death in 1886 that, hidden away in her bureau, overly one thousand unpublished poems were discovered",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Rocks form within Earth are called intrusive or plutonic rocks because the magma from which they form often intrudes into neighboring rock,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
